Column,Value (1),Value (2),Value (3),Value (4),Value (5),Value (6),Value (7),Value (8),Value (9),Value (10),Value (11),Value (12),Value (13),Value (14),Value (15),Value (16),Value (17)
created,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000Z,2025-09-19 08:53:10.000Z,2025-09-19 08:53:10.000Z,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000Z,2025-09-19 08:53:10.000000 +00:00
icon,Home,Users,Identifi,ShieldCheck,,,,,,,,,,,,Bug,Github
id,1,2,3,4,5,6,7,8,9,10,11,12,13,101,102,1001,100001
menuName,System,User,Role,Menu,AddUser,EditUser,DelUser,AddRole,EditRole,DelRole,AddMenu,EditMenu,DelMenu,AssignRole,AssignPerm,Log,MyGitHub
menuType,M,C,C,C,F,F,F,F,F,F,F,F,F,F,F,C,M
orderNum,1,1,2,3,,,,,,,,,,,,4,2
parentId,0,1,1,1,2,2,2,3,3,3,4,4,4,2,3,1,0
permission,,sys:user:query,sys:role:query,sys:menu:query,sys:user:add,sys:user:edit,sys:user:delete,sys:role:add,sys:role:edit,sys:role:delete,sys:menu:add,sys:menu:edit,sys:menu:delete,sys:user:role,sys:role:perm,sys:log:query,
updated,2025-09-19 08:53:10.000000 +00:00,2025-11-17 07:11:05.526Z,2025-11-17 07:11:15.007Z,2025-11-17 07:11:23.043Z,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-09-19 08:53:10.000000 +00:00,2025-11-17 08:06:15.388Z,2025-09-19 08:53:10.000000 +00:00
url,,/sys/UserPage,/sys/RolePage,/sys/MenuPage,,,,,,,,,,,,/sys/LogPage,https://github.com/khr123123
